i1	V(vo)	I(I1)
-1.999999999999904e-005	9.013086e-001	-2.000000e-005
-1.499999999999904e-005	8.376767e-001	-1.500000e-005
-9.999999999999037e-006	7.573388e-001	-1.000000e-005
-4.999999999999037e-006	6.264158e-001	-5.000000e-006
9.622294280808852e-019	-7.031094e-013	9.622294e-019
5.000000000000962e-006	-6.264143e-001	5.000000e-006
1.000000000000096e-005	-7.573888e-001	1.000000e-005
1.500000000000096e-005	-8.380944e-001	1.500000e-005
2.000000000000096e-005	-9.011985e-001	2.000000e-005
2.500000000000096e-005	-9.574070e-001	2.500000e-005
3.000000000000096e-005	-1.008524e+000	3.000000e-005
3.500000000000096e-005	-1.056567e+000	3.500000e-005
4.000000000000096e-005	-1.102471e+000	4.000000e-005
4.500000000000096e-005	-1.146745e+000	4.500000e-005
5.000000000000096e-005	-1.189747e+000	5.000000e-005
5.500000000000096e-005	-1.231733e+000	5.500000e-005
6.000000000000096e-005	-1.272890e+000	6.000000e-005
6.500000000000096e-005	-1.313357e+000	6.500000e-005
7.000000000000096e-005	-1.353240e+000	7.000000e-005
7.500000000000096e-005	-1.392625e+000	7.500000e-005
8.000000000000096e-005	-1.431578e+000	8.000000e-005
8.500000000000096e-005	-1.470153e+000	8.500000e-005
9.000000000000095e-005	-1.508396e+000	9.000000e-005
9.500000000000095e-005	-1.546343e+000	9.500000e-005
1.000000000000010e-004	-1.584026e+000	1.000000e-004
1.050000000000010e-004	-1.621473e+000	1.050000e-004
1.100000000000010e-004	-1.658704e+000	1.100000e-004
1.150000000000010e-004	-1.695741e+000	1.150000e-004
1.200000000000010e-004	-1.732600e+000	1.200000e-004
1.250000000000010e-004	-1.769296e+000	1.250000e-004
1.300000000000009e-004	-1.805842e+000	1.300000e-004
1.350000000000010e-004	-1.842250e+000	1.350000e-004
1.400000000000010e-004	-1.878530e+000	1.400000e-004
1.450000000000010e-004	-1.914691e+000	1.450000e-004
1.500000000000010e-004	-1.950743e+000	1.500000e-004
1.550000000000010e-004	-1.986691e+000	1.550000e-004
1.600000000000010e-004	-2.022542e+000	1.600000e-004
1.650000000000010e-004	-2.058304e+000	1.650000e-004
1.700000000000010e-004	-2.093981e+000	1.700000e-004
1.750000000000011e-004	-2.129578e+000	1.750000e-004
1.800000000000011e-004	-2.165100e+000	1.800000e-004
1.850000000000011e-004	-2.200551e+000	1.850000e-004
1.900000000000011e-004	-2.235934e+000	1.900000e-004
1.950000000000011e-004	-2.271255e+000	1.950000e-004
2.000000000000011e-004	-2.306515e+000	2.000000e-004
2.050000000000011e-004	-2.341718e+000	2.050000e-004
2.100000000000012e-004	-2.376866e+000	2.100000e-004
2.150000000000012e-004	-2.399678e+000	2.150000e-004
2.200000000000012e-004	-2.409234e+000	2.200000e-004
2.250000000000012e-004	-2.416241e+000	2.250000e-004
2.300000000000012e-004	-2.421962e+000	2.300000e-004
2.350000000000012e-004	-2.426877e+000	2.350000e-004
2.400000000000012e-004	-2.431201e+000	2.400000e-004
2.450000000000012e-004	-2.435226e+000	2.450000e-004
2.500000000000013e-004	-2.438652e+000	2.500000e-004
2.550000000000013e-004	-2.441775e+000	2.550000e-004
2.600000000000013e-004	-2.444613e+000	2.600000e-004
2.650000000000013e-004	-2.447195e+000	2.650000e-004
2.700000000000013e-004	-2.449543e+000	2.700000e-004
2.750000000000013e-004	-2.451677e+000	2.750000e-004
2.800000000000013e-004	-2.453613e+000	2.800000e-004
2.850000000000013e-004	-2.455366e+000	2.850000e-004
2.900000000000014e-004	-2.456948e+000	2.900000e-004
2.950000000000014e-004	-2.458372e+000	2.950000e-004
3.000000000000014e-004	-2.459649e+000	3.000000e-004
3.050000000000014e-004	-2.460790e+000	3.050000e-004
3.100000000000014e-004	-2.461804e+000	3.100000e-004
3.150000000000014e-004	-2.462701e+000	3.150000e-004
3.200000000000014e-004	-2.463490e+000	3.200000e-004
3.250000000000015e-004	-2.464179e+000	3.250000e-004
3.300000000000015e-004	-2.464776e+000	3.300000e-004
3.350000000000015e-004	-2.465289e+000	3.350000e-004
3.400000000000015e-004	-2.465725e+000	3.400000e-004
3.450000000000015e-004	-2.466090e+000	3.450000e-004
3.500000000000015e-004	-2.466391e+000	3.500000e-004
3.550000000000015e-004	-2.466632e+000	3.550000e-004
3.600000000000015e-004	-2.466820e+000	3.600000e-004
3.650000000000016e-004	-2.466959e+000	3.650000e-004
3.700000000000016e-004	-2.467054e+000	3.700000e-004
3.750000000000016e-004	-2.467108e+000	3.750000e-004
3.800000000000016e-004	-2.467127e+000	3.800000e-004
3.850000000000016e-004	-2.467112e+000	3.850000e-004
3.900000000000016e-004	-2.467067e+000	3.900000e-004
3.950000000000016e-004	-2.466996e+000	3.950000e-004
4.000000000000017e-004	-2.466900e+000	4.000000e-004
4.050000000000017e-004	-2.466783e+000	4.050000e-004
4.100000000000017e-004	-2.466645e+000	4.100000e-004
4.150000000000017e-004	-2.466490e+000	4.150000e-004
